"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"d:\User_program\bs\xyyz-new\cloudfunctions\add_shopping_product\config.json", "JSON", 8, 0, 0, 2, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\add_shopping_product\index.js", "JavaScript", 0, 10, 0, 3, 13
"d:\User_program\bs\xyyz-new\cloudfunctions\add_shopping_product\package.json", "JSON", 14, 0, 0, 2, 16
"d:\User_program\bs\xyyz-new\cloudfunctions\ai_chat_proxy\config.json", "JSON", 6, 0, 0, 1, 7
"d:\User_program\bs\xyyz-new\cloudfunctions\ai_chat_proxy\index.js", "JavaScript", 0, 181, 9, 28, 218
"d:\User_program\bs\xyyz-new\cloudfunctions\ai_chat_proxy\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\apply_certification\config.json", "JSON", 8, 0, 0, 2, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\apply_certification\index.js", "JavaScript", 0, 205, 0, 28, 233
"d:\User_program\bs\xyyz-new\cloudfunctions\apply_certification\package.json", "JSON", 14, 0, 0, 2, 16
"d:\User_program\bs\xyyz-new\cloudfunctions\auto_cancel_orders\config.json", "JSON", 12, 0, 0, 1, 13
"d:\User_program\bs\xyyz-new\cloudfunctions\auto_cancel_orders\index.js", "JavaScript", 0, 366, 0, 50, 416
"d:\User_program\bs\xyyz-new\cloudfunctions\auto_cancel_orders\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\cancel_order\config.json", "JSON", 1, 0, 0, 1, 2
"d:\User_program\bs\xyyz-new\cloudfunctions\cancel_order\index.js", "JavaScript", 0, 74, 15, 20, 109
"d:\User_program\bs\xyyz-new\cloudfunctions\cancel_order\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\clear_chat_unread\config.json", "JSON", 5, 0, 0, 2, 7
